URI,Vase_Number,Fabric,Technique,Sub_Technique,Shape_Name,Provenance,Date,Inscriptions,Attributed_To,Decoration,Collection_Record,Publication_Record,Inscriptions_II,Measurements,Volume,Weight,Restorations,Ornament,Technical_Observations,Image_Credits,Pleiades_URI,Latitude,Longitude,LIMC_ID,LIMC_Web,British_Museum_Link,Ure_Museum_Link,Bryn_Mawr_College_Link,Nicholson_Collection_Link,Notes
http://www.beazley.ox.ac.uk/record/CD8F7E5C-190C-4C1C-AF22-FE12D39A5462,841,ATHENIAN,RED-FIGURE,NA,LEBES,"GREECE, ATHENS, AGORA",NA,NA,NA,"A: WOMEN, EROS | B: NIKAI","Athens, Agora Museum: P28056","Hesperia: The Journal of the American School of Classical Studies at Athens: 38 (1969), PL.103C (A) | Hesperia: The Journal of the American School of Classical Studies at Athens: 43 (1974), PL.35.24 (A, B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/3C12C439-3843-4409-BB59-4867C2C8573F,844,ATHENIAN,RED-FIGURE,NA,CHOUS,"GREECE, ATHENS, AGORA",NA,NA,NA,"Body: WOMAN, SEATED, BALANCING STAFF","Athens, Agora Museum: P29662","Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.67.H | Rotroff, S.I. and Lamberton, R.D., Women in the Athenian Agora (Athens, 2006): 21, FIG.20 (COLOUR OF BD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/2E26842D-5C33-461F-9F76-F59DB367D2AE,845,ATHENIAN,RED-FIGURE,NA,SKYPHOS,"GREECE, ATHENS, AGORA",NA,NA,NA,"A: WOMAN, SEATED HOLDING FLOWER | B: WOMAN","Athens, Agora Museum: P29902","Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.67.D (A) | Rotroff, S.I. and Lamberton, R.D., Women in the Athenian Agora (Athens, 2006): TITLEPAGE (COLOUR OF A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/372DF44C-EEF5-447C-A42F-3BEC2A3D7215,846,ATHENIAN,RED-FIGURE,NA,CUP STEMLESS,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,I: EROS WITH PHIALE AT ALTAR,"Athens, Agora Museum: P29591","Bulletin de Correspondance Hellenique: 97 (1973), 259, FIG.13 (I) | Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.67C (I) | Lexicon Iconographicum Mythologiae Classicae: III, PL.631, EROS 431 (I)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35490,http://ark.dasch.swiss/ark:/72163/080e-759aa76186f3c-f,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/15BDB61E-5C29-4196-9B50-31DB5315AA37,847,ATHENIAN,RED-FIGURE,NA,CUP STEMLESS,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,"I: VEILED WOMAN WITH THYRSOS (MAENAD ?), LAVER","Athens, Agora Museum: P29666","Bulletin de Correspondance Hellenique: 97 (1973), 259, FIG.13 (I) | Camp, J.M., Gods and Heroes in the Athenian Agora (Athens, 1980): 27, FIG.53 (I) | Estienne, S. et al. (eds.), Image et religion dans l'antiquite greco-romaine, actes du colloque de Rome, 11-13 decembre 2003 (Naples, 2008): 239, FIG.5 (I) | Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.67B (I)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/4BBDA325-7CF2-425D-8E2D-9EACC57B547A,848,ATHENIAN,RED-FIGURE,NA,BOBBIN,"GREECE, ATHENS, AGORA",-475 to -425,NA,<em>Manner of</em> PENTHESILEA P by SHEAR,A: HERMES AND YOUTH WITH COCK (GANYMEDE ?) | B: YOUTH,"Athens, Agora Museum: P29670","Ancient World: 11 (1985) 119, FIGS.1-2 | Classical Antiquity: 21 (2002) FIG.11B AT 379 (A) | Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.67.A (A) | Lexicon Iconographicum Mythologiae Classicae: V, PL.269, HERMES 866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20072,http://ark.dasch.swiss/ark:/72163/080e-74bffcf0eba41-5,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/797DE537-3AC8-43F3-9DFA-6D41617FDEE5,849,ATHENIAN,RED-FIGURE,NA,"LEKYTHOS, SQUAT","GREECE, ATHENS, AGORA",NA,NA,NA,Body: DRAPED MAN,"Athens, Agora Museum: P29370","Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.27.C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/469E1281-EECF-4890-89AA-2E058BB53833,850,ATHENIAN,RED-FIGURE,NA,"LEKYTHOS, SQUAT","GREECE, ATHENS, AGORA",NA,NA,NA,Body: HEAD OF WOMAN,"Athens, Agora Museum: P29369","Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.27.E | Rotroff, S.I. and Lamberton, R.D., Women in the Athenian Agora (Athens, 2006): 21, FIG.20.3 (COLOUR OF BD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/07977A7B-C7DE-4016-82C3-F85B069E6AAB,851,ATHENIAN,RED-FIGURE,NA,"LEKYTHOS, SQUAT","GREECE, ATHENS, AGORA",NA,NA,NA,Body: NIKE AT ALTAR,"Athens, Agora Museum: P29368","Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.27.D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/F13C95CE-EFF6-4F6D-A1C6-EB179F3DEF72,852,ATHENIAN,RED-FIGURE,NA,"LEKYTHOS, SQUAT","GREECE, ATHENS, AGORA",NA,NA,NA,"Body: DOMESTIC, WOMAN WITH MIRROR AND BOX","Athens, Agora Museum: P29371","Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.27.B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/E78C9FA4-BD18-4552-B02A-A926CF0628A1,861,ATHENIAN,RED-FIGURE,NA,CUP,"GREECE, ATHENS, AGORA",NA,NA,NA,I: APOLLO (?) AT ALTAR,"Athens, Agora Museum: P29372","Hesperia: The Journal of the American School of Classical Studies at Athens: 42 (1973), PL.27.A (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/3AA86346-E610-4A93-A9C9-59719EE0A7CD,862,ATHENIAN,RED-FIGURE,NA,"KRATER, BELL FRAGMENT","GREECE, ATHENS, AGORA",NA,NA,NA,"YOUTH, HORSE","Athens, Agora Museum: P27914","Hesperia: The Journal of the American School of Classical Studies at Athens: 39 (1970), PL.56.C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/79508CE2-E983-4AC3-94E9-74FABDCC4ADE,922,ATHENIAN,RED-FIGURE,NA,CHOUS,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,"Body: THEATRICAL, ARTISANS, FOUNDRY, METAL WORKING WITH SATYRS","Athens, Agora Museum: P15210","Archaeology: 30 (1977), 328 | Burford, A., Künstler und Handwerker in Griechenland und Rom (Mainz, 1985): PL.35 | Chatzidimitriou, A., Parastaseis Ergasterion kai Emporiou stin Eikonographia ton Archaikon kai Klasikon Chronon (Athens, 2005): PL.29.X14 (BD) | Colpo, I. et al. (eds.), Iconografia 2001, Studi sull'immagine, Atti del Convegno (Padova, 30 maggio - 1 giugno 2001) (Rome, 2002): 154, FIG.5 (DRAWING OF BD) | Hesperia: The Journal of the American School of Classical Studies at Athens: 46 (1977), PL.96D | Hoorn, G. van, Choes and Anthesteria (Leiden, 1951): FIG.19, NO.227 | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.76.716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200133,http://ark.dasch.swiss/ark:/72163/080e-769c4718a8e30-1,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/5E2292CD-BE3B-4450-8501-EBBCE22EEB6E,928,ATHENIAN,RED-FIGURE,NA,CHOUS FRAGMENT,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,Body: WOMAN WITH WREATH,"Athens, Agora Museum: P27389","Hesperia: The Journal of the American School of Classical Studies at Athens: 39 (1970), PL.57.D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/377F6A33-B98F-407F-8ABB-D5546D74255F,946,ATHENIAN,RED-FIGURE,NA,"KRATER, BELL FRAGMENTS","GREECE, ATHENS, AGORA",-400 to -300,NA,MARLAY P by HARRISON | MARLAY P by LALOND | MARLAY P by RICHTER,A: HORSEMEN | B: DRAPED FIGURES,"Athens, Agora Museum: P27831","Hesperia: The Journal of the American School of Classical Studies at Athens: 37 (1968), PL.37C | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.47.368 (A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/10F49549-0B72-4019-976B-5F726322D7B4,2095,ATHENIAN,RED-FIGURE,NA,PYXIS FRAGMENT,"GREECE, ATHENS, AGORA",-450 to -400,NA,<em>Manner of</em> ERETRIA P by BEAZLEY | <em>Manner of</em> ERETRIA P by CLAIRMONT,Lid: DEATH OF THE NIOBIDS,"Athens, Agora Museum: P6845 | Athens, Agora Museum: P26849","American Journal of Archaeology: 113 (2009) 600, FIG.1 | Antike Kunst: 6 (1963), PL.8.1, 2 | Lezzi-Hafter, A., Der Eretria-Maler, Werke und Weggefährten (Mainz, 1988): 245, FIG.85C-D, NO.255 (PROFILE AND DRAWING) | Roberts, S., The Attic Pyxis (Chicago, 1978): PL.80.1, 3 | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.98.1009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501,http://ark.dasch.swiss/ark:/72163/080e-749b96ca75907-a,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/3677BEDF-F7E2-4F9D-BC28-9381E308C4E9,2098,ATHENIAN,RED-FIGURE,NA,PYXIS,"GREECE, ATHENS, AGORA",-450 to -400,NA,<em>Compare</em> DROUOT GROUP by BEAZLEY,"Lid: EROTES, PURSUING WOMEN","Athens, Agora Museum: P10459","Beazley, J.D., Attic Red-figure Vase-painters, 1st ed. (Oxford, 1942): 760 | Roberts, S., The Attic Pyxis (Chicago, 1978): PL.75.4 | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.97.994 (PARTS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/2A04C4C0-A687-43BA-AADE-A6AA6C410EA3,2099,ATHENIAN,RED-FIGURE,NA,PYXIS FRAGMENT,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,Body: EROTES AND WOMEN,"Athens, Agora Museum: P8441","Roberts, S., The Attic Pyxis (Chicago, 1978): PL.75.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/EDF137FA-5B70-43A2-94CF-A32885FBEA6D,2661,ATHENIAN,RED-FIGURE,NA,PYXIS LID,"GREECE, ATHENS, AGORA",NA,NA,"WÜRZBURG 542, CLASS OF* by UNKNOWN","Lid: FLORAL, PALMETTES","Athens, Agora Museum: P27317","Roberts, S., The Attic Pyxis (Chicago, 1978): PLS.53.1, 3 | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.98.1013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/05E28F9F-EFC7-430A-AC89-432F52C5E3ED,2726,ATHENIAN,RED-FIGURE,NA,"AMPHORA, BELLY, FRAGMENTS","GREECE, ATHENS, AGORA",-475 to -425,NA,PELEUS P by UNKNOWN,"A: DRAPED FIGURE, PLAYING KITHARA, ON PLATFORM, BETWEEN NIKE AND DRAPED FIGURE, SEATED | B: DRAPED MAN, PLAYING PIPES, BETWEEN NIKE AND DRAPED MAN WITH STAFF","Athens, Agora Museum: P27349","Archaeology: 19 (1966) 112F, FIGS.1-3 | Beck, F., Album of Greek Education (Sydney, 1975): PL.44.237, 238 (A, B) | Neils, J. et al., Goddess and Polis, The Panathenaic Festival in Ancient Athens (Princeton, 1992): 60, FIG.38 (A, B) | PHOTOGRAPH(S) IN THE BEAZLEY ARCHIVE: 1 (B) | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/5D087B9C-00B0-435F-A36F-8AAF3A27A72C,2825,ATHENIAN,BLACK-FIGURE,NA,SKYPHOS,"GREECE, ATHENS, AGORA",NA,NA,NA,"A,B: YOUTH RIDING HIPPALEKTRYON BETWEEN YOUTHS | Under handle: SWAN","Athens, Agora Museum: P1000","Archeologia Classica: 19 (1967), PL.65.3 (A) | Camp, J.M., Horses and Horsemanship in the Athenian Agora (Athens, 1998): 7, FIG.8 (COLOUR OF A) | Hesperia: The Journal of the American School of Classical Studies at Athens: 2 (1933), 472, FIG.21 (A) | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 23, PL.100.1476 (A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21011,http://ark.dasch.swiss/ark:/72163/080e-74cd5e9fbd289-5,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/0B549F20-3DD7-4C7F-9137-B6A172B7A0BC,2949,ATHENIAN,RED-FIGURE,NA,"KRATER, COLUMN","GREECE, ATHENS, AGORA",-450 to -400,NA,NA,"A: FIGHT, HORSEMAN AND WARRIOR","Athens, Agora Museum","Archaeological Reports: 19 (1972-73), 4, FIG.3 | Bulletin de Correspondance Hellenique: 97 (1973), 259, FIG.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/690DCFCC-74B9-4D7D-895F-CF46C69577EA,3012,ATHENIAN,BLACK-FIGURE,NA,LEKYTHOS,"GREECE, ATHENS, AGORA",NA,NA,NA,"Body: PATTERN, BANDS","Athens, Agora Museum: P24532","Kurtz, D., Athenian White Lekythoi (Oxford, 1975): PL.68.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/A5CCA6ED-02A3-40FA-906F-94577C483D53,3257,ATHENIAN,BLACK-FIGURE,NA,PYXIS FRAGMENT,"GREECE, ATHENS, AGORA",-500 to -450,NA,"<em>Compare</em> HAIMON P by ROBERTS | BERLIN 2034, CLASS OF by MOORE","Body: SYMPOSIUM, DRAPED MAN WITH LYRE RECLINING, VINE, COLUMN KRATER, CUP","Athens, Agora Museum: P24555","Roberts, S., The Attic Pyxis (Chicago, 1978): PL.14.1 | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 23, PL.90.1286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/C5573AEC-1CDC-47E9-BA32-B8494B569A25,3337,ATHENIAN,BLACK-FIGURE,NA,PYXIS FRAGMENT,"GREECE, ATHENS, AGORA",NA,NA,NA,Body: PATTERN,"Athens, Agora Museum: P27917","Roberts, S., The Attic Pyxis (Chicago, 1978): PL.17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/19F57AF5-E877-4EF3-87CD-D673EAA2404D,3344,ATHENIAN,RED-FIGURE,NA,PYXIS LID FRAGMENT,"GREECE, ATHENS, AGORA",-500 to -450,NA,<em>Workshop of</em> PENTHESILEA P by UNKNOWN,"FLORAL, PALMETTE AND LOTUS, PATTERN, TONGUES, MEANDER","Athens, Agora Museum: P4734","Roberts, S., The Attic Pyxis (Chicago, 1978): PL.32.2 | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.97.1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/37B86C31-DAB1-4F6B-9E2F-781D9C12BAC0,3375,ATHENIAN,BLACK-FIGURE,NA,PYXIS FRAGMENT,"GREECE, ATHENS, AGORA",-550 to -500,NA,NA,"Body: HORSEMAN, MEN, DRAPED MAN","Athens, Agora Museum: P12255","Roberts, S., The Attic Pyxis (Chicago, 1978): PL.4.1 (PART) | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 23, PL.90.1283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90629,http://ark.dasch.swiss/ark:/72163/080e-76860beca8291-f,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/A2DF0688-8604-41A9-8C50-8B98C276F188,3376,ATHENIAN,BLACK-FIGURE,NA,PYXIS FRAGMENT,"GREECE, ATHENS, AGORA",NA,NA,NA,"FLORAL, PALMETTES","Athens, Agora Museum: P13247","Roberts, S., The Attic Pyxis (Chicago, 1978): PL.4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/B0D28DEA-4F5A-4561-80DE-021F762E5395,3410,ATHENIAN,RED-FIGURE,NA,CHOUS FRAGMENT,"GREECE, ATHENS, AGORA",-450 to -400,NA,NA,"Body: EDUCATION, YOUTH, WRITING TABLET SUSPENDED","Athens, Agora Museum: P18286","Beck, F., Album of Greek Education (Sydney, 1975): PL.9.48 | Hoorn, G. van, Choes and Anthesteria (Leiden, 1951): FIG.197A, NO.244 | The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.74.703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://www.beazley.ox.ac.uk/record/50D72802-89AB-4B2F-A506-CCD33FAE8F72,3696,ATHENIAN,BLACK-FIGURE,NA,"AMPHORA, PANATHENAIC PRIZE FRAGMENT","GREECE, ATHENS, AGORA",-400 to -300,Inscription: THEMISTOK[LES],NA,"A: ATHENA, COLUMN, INSCRIPTION","Athens, Agora Museum: P1847","Revue Archeologique: 1877 I, 382 (DRAWING) | Revue Archeologique: 1972, 287, FIG.2 (DRAWING)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
