"","text"
"171","Hillary Clinton just had her 47% moment. What a terrible thing she said about so many great Americans!"
"172","RT if you agree: We need a President who is fighting for all Americans, not one who writes off nearly half the country."
"173","While Hillary said horrible things about my supporters, and while many of her supporters will never vote for me, I still respect them all!"
"174","Really sad that Republicans would allow themselves to be used in a Clinton ad. Lindsey Graham, Romney, Flake, Sass. SUPREME COURT, REMEMBER!"
"175","Wow, Hillary Clinton was SO INSULTING to my supporters, millions of amazing, hard working people. I think it will cost her at the Polls!"
"176","Will be in Missouri today with Melania for the funeral of a wonderful and truly respected woman, Phyllis S!"
"177","""@Stvzbnk: Just Watched @tonyschwartz. Obviously Tony is a Total Whack Job @realDonaldTrump"""
"178","Just returned from Pensacola, Florida, where the crowd was incredible."
"179","I havn't seen @tonyschwartz in many years, he hardly knows me. Never liked his style. Super lib, Crooked H supporter. Irrelevant dope!"
"180","Dummy writer @tonyschwartz, who wanted to do a second book with me for years (I said no), is now a hostile basket case who feels jilted!"
"181","Thank you Florida - we are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW. 
#AmericaFirst https://t.co/vzKtRxzvwv"
"182","Will be delivering a major speech tonight - live on @oreillyfactor at 8:10pm from Pensacola, Florida."
"183","Thank you Ohio. Together, we will MAKE AMERICA GREAT AGAIN!
https://t.co/3KWOl20zMm https://t.co/n026nE4XIp"
"184","Great honor to be endorsed by popular &amp; successful @gov_gilmore of VA. A state that I very much want to win-THX Jim! https://t.co/x4Y1TAFHvn"
"185","MAKE AMERICA GREAT AGAIN!
#AmericaFirst #ImWithYou https://t.co/JIlNW7myEN"
"186","Henry McMaster, Lt. Governor of South Carolina who endorsed me, beat failed @CNN announcer Bakari Sellers, so badly. Funny!"
"187","Join @TeamTrump on Saturday for National Day of Action as we work to #MakeAmericaGreatAgain! https://t.co/hyclkzPoBR https://t.co/0DWIvJpoJG"
"188","Jeff Zucker failed @NBC and he is now failing @CNN."
"189",".@CNN is unwatchable. Their news on me is fiction. They
are a disgrace to the broadcasting industry and an arm of the Clinton campaign."
"190","The documentary of me that @CNN just aired is a total waste of time. I don't even know many of the people who spoke about me. A joke!"
"191","Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA https://t.co/C5ipaxUN7B"
"192","It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail."
"193","More poll results from last nights Commander-in-Chief Forum. 
#AmericaFirst #TrumpTrain https://t.co/FxyBL6fO1h"
"194","Last nights results - in poll taken by NBC. #AmericaFirst #ImWithYou https://t.co/sCOnny1fl3"
"195","With Luis, Mexico and the United States would have made wonderful deals together - where both Mexico and the US would have benefitted."
"196","Mexico has lost a brilliant finance minister and wonderful man who I know is highly respected by President Peña Nieto."
"197","Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit to serve as #POTUS."
"198","Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!"
"199","Last nights winner was clear &amp; it will be proven time &amp; time again - lets #MAGA!! Lets WIN!! #TrumpTrain https://t.co/sGqp9rGmBH"
"200","""A rough night for Hillary Clinton""  ABC News."
"201","Wow, reviews are in - THANK YOU!"
"202","COMING UP @GenFlynn @newtgingrich on @foxandfriends"
"203","Thank you to @foxandfriends for the nice reviews of last night."
"204","Thank you America - great #CommanderInChiefForum polls! https://t.co/Rcu6KaRGCB"
"205","Thank you to our fantastic veterans. The reviews and polls from almost everyone of my Commander-in-Chief presentation were great. Nice!"
"206","Thank you Peter - if elected, I will think big for our country &amp; never let the American people down! #AmericaFirst https://t.co/6Nwu7EMJ9d"
"207","Wow - thank you Pensacola, FL. See you Friday at 7pm -- join me!
https://t.co/JCO7Za78tV https://t.co/LYmpRyY0Hq"
"208","#AmericaFirst! https://t.co/fQGxwAjXD7"
"209","'Donald Trump leads Hillary Clinton by 19 points among military, veteran voters: poll' #AmericaFirst #MAGA
https://t.co/5FmxGtLkwt"
"210","""@adhd_fa:Kudos to @PARISDENNARD for standing up to CNN's attempt to bully you and shout you down for defending @realDonaldTrump #media bias"
"211","I will be interviewed on @oreillyfactor tonight at 11pmE @FoxNews. Enjoy!"
"212","Thank you North Carolina- get out &amp; #VoteTrump on 11/8/2016!
#MakeAmericaGreatAgain https://t.co/HX2LRYs4Vq"
"213","Great meeting with military spouses in Virginia- joined by @IvankaTrump, @LaraLeaTrump, @GenFlynn &amp; @MayorRGiuliani. https://t.co/00GNH9nLet"
"214","Thank you to all of our amazing military families, service members, and veterans. #ImWithYou https://t.co/RmQJt0Wxcq"
"215","Join me in Pensacola, Florida this Friday at 7pm! #VoteTrump 
https://t.co/L8Ui56dcrJ https://t.co/0ciDCuoFeO"
"216","Thank you! #VoteTrump #ImWithYou https://t.co/SCEq9LqTTj"
"217","Mainstream media never covered Hillary’s massive “hacking”
or coughing attack, yet it is #1 trending. What’s up?"
"218","""@Ler: Message for undecided voters: Please wake up and vote DonaldTrump now! Trump/Pence very important save our America before too late!"""
"219","Thank you! #AmericaFirst https://t.co/6v4C8ykDVl"
"220","As a tribute to the late, great Phyllis Schlafly, I hope everybody can go out and get her latest book, THE CONSERVATIVE CASE FOR TRUMP."
"221","China wouldn't provide a red carpet stairway from Air Force One and then Philippines President calls Obama ""the son of a whore."" Terrible!"
"222","The truly great Phyllis Schlafly, who honored me with her strong endorsement for president, has passed away at 92. She was very special!"
"223","Thank you Ohio! #AmericaFirst https://t.co/p68GAJdhwu"
"224","Heading to Youngstown, Ohio now- some great polls. #AmericaFirst https://t.co/cGwDLSOFUt"
"225","Thank you American Legion Post 610- for hosting @Mike_Pence &amp; I for a roundtable with labor leaders. #LaborDay #MAGA https://t.co/r0cwJlV38L"
"226","#LaborDay #AmericaFirst
Video: https://t.co/RNl7cfzkmN https://t.co/ZqRtbV4KRI"
"227","Can you believe that the Chinese would not give Obama the proper stairway to get off his plane - fight on tarmac! https://t.co/FAldS5zZi5"
"228","President Obama &amp; Putin fail to reach deal on Syria - so what else is new? Obama is not a natural deal maker. Only makes bad deals!"
"229","""@OSPREY675: @Miami4Trump I followed you because you are a patriot &amp; support @realDonaldTrump, as do I. #MAGA by sticking together."
"230","""@tweak626: I'm at a biker rally in Perry, Kansas...and everyone is a @realDonaldTrump fan. Love it."""
"231","""@ronnieclemmons: @ChrisCJackson @TakouiS @realDonaldTrump  Trump now leads her by 2 - get real, she will lose big"""
"232","""@lblackvelvet: @realDonaldTrump We need to show Americans that Hillary will KILL our Country !! Vote for Trump !!"""
"233","""@CherNuna: @realDonaldTrump It defies belief the Web of Lies Hillary is spinning! One excuse after another. Then it's this, then it's that."
"234","Lyin' Hillary Clinton told the FBI that she did not know the ""C"" markings on documents stood for CLASSIFIED. How can this be happening?"
"235","To the African-American community: The Democrats have failed you for fifty years, high crime, poor schools, no jobs. I will fix it, VOTE ""T"""
"236","The polls are close so Crooked Hillary is getting out of bed and will campaign tomorrow.Why did she hammer 13 devices and acid-wash e-mails?"
"237","The Great State of Arizona, where I just had a massive rally (amazing people), has a very weak and ineffective Senator, Jeff Flake. Sad!"
"238","The Republican Party needs strong and committed leaders, not weak people such as @JeffFlake, if it is going to stop illegal immigration."
"239","Doesn't fit the MSM narrative - so they wont share what @realDonaldTrump did for Jesse Jackson in 1999 - so I will! https://t.co/qzbyxOsruU"
"240","""@AnneBellar: @realDonaldTrump @CNN CNN is so biased. Never ever watch them. Trump 2016!!"""
"241","Crooked Hillary's V.P. pick said this morning that I was not aware that Russia took over Crimea. A total lie - and taken over during O term!"
"242","Wow, the failing @nytimes has not reported properly on Crooked's FBI release. They are at the back of the pack - no longer a credible source"
"243",".@CNN is so disgusting in their bias, but they are having a hard time promoting Crooked Hillary in light of the new e-mail scandals."
"244","Great visit to Detroit church, fantastic reception, and all @CNN talks about is a small protest outside. Inside a large and wonderful crowd!"
"245","I am returning to the Pensacola Bay Center in Florida- Friday, 9/9/16 at 7pm. Join me! https://t.co/L8Ui56dcrJ https://t.co/wAePlfS0JL"
"246","Thank you Great Faith Ministries International, Bishop Wayne T. Jackson, and Detroit!
https://t.co/4Ucx678ZCC"
"247","#ImWithYou https://t.co/I8dHzezmY4"
"248","#AmericaFirst #ImWithYou https://t.co/Gtl7DyQkzt"
"249","Great new poll Iowa - thank you!
#MakeAmericaGreatAgain #ImWithYou https://t.co/7hupah1RQN"
"250","I visited our Trump Tower campaign headquarters last night, after returning from Ohio and Arizona, and it was packed with great pros - WIN!"
"251","People will be very surprised by our ground game on Nov. 8. We have an army of volunteers and people with GREAT SPIRIT! They want to #MAGA!"
"252","Just heard that crazy and very dumb @morningmika had a mental breakdown while talking about me on the low ratings @Morning_Joe. Joe a mess!"
"253","I will be interviewed by @ericbolling tonight at 8pm on the @oreillyfactor. Enjoy!"
"254","I am promising you a new legacy for America. We're going to create a new American future. Thank you OHIO! #ImWithYou https://t.co/TUgccsxvoy"
"255","Thank you for having me this morning @AmericanLegion. I enjoyed my time with everyone! #ALConvention2016 https://t.co/19TZEi6EbB"
"256","Poll numbers way up - making big progress!"
